"label","label_wo_outliers","label_cluster2_kmeans5","label_cluster5_kmeans5","label_cluster4_kmeans5"
"CCNB1","CS1","CS1","CS1","CS1","CS0"
"RALBP1","CS3","CS3","CS2","CS3","CS3"
"PPIB","CS4","CS4","CS4","CS4","CS5"
"CAMLG","CS2","CS2","CS2","CS1","CS2"
"CSRP1","CS5","CS5","CS5","CS5","CS6"
"INSR","CS5","CS5","CS5","CS5","CS6"
"CSK","CS3","CS3","CS3","CS3","CS5"
"IGF1R","CS4","CS4","CS3","CS4","CS2"
"EGFR","CS3","CS3","CS3","CS2","CS1"
"DCN","CS6","CS6","CS6","CS7","CS6"
"ARNT","CS2","CS2","CS2","CS5","CS2"
"SIM2","CS5","CS5","CS5","CS6","CS4"
"SIM1","CS4","CS4","CS4","CS5","CS6"
"NPAS4","CS4","CS4","CS4","CS4","CS4"
"ZBTB16","CS6","CS6","CS6","CS5","CS5"
"HBEGF","CS5","CS5","CS3","CS5","CS5"
"PCNA","CS0","CS0","CS0","CS0","CS0"
"GADD45A","CS7","CS7","CS7","CS8","CS7"
"TOP2B","CS5","CS5","CS4","CS5","CS5"
"TOPBP1","CS0","CS0","CS0","CS0","CS0"
"FLNA","CS5","CS5","CS6","CS4","CS5"
"DRD3","CS4","CS4","CS4","CS4","CS5"
"SNRPE",NA,NA,NA,NA,NA
"LSM3","CS0","CS0","CS0","CS0","CS0"
"LSM4","CS0","CS0","CS0","CS0","CS0"
"LSM5","CS0","CS0","CS0","CS0","CS1"
"EGR1","CS5","CS5","CS5","CS4","CS5"
"CREBBP","CS4","CS4","CS4","CS4","CS5"
"EPB41","CS5","CS5","CS6","CS5","CS5"
"NUMA1","CS1","CS1","CS1","CS2","CS1"
"EEF1A1","CS0","CS0","CS0","CS0","CS0"
"EXOSC4","CS0","CS0","CS0","CS0","CS0"
"PLCG1","CS5","CS5","CS4","CS5","CS5"
"EEF1D","CS3","CS3","CS3","CS3","CS5"
"KTN1","CS7","CS7","CS6","CS7","CS8"
"ANXA5","CS5","CS5","CS5","CS5","CS5"
"KDR","CS4","CS4","CS4","CS4","CS5"
"ESR1","CS5","CS5","CS4","CS5","CS5"
"PPARGC1B","CS1","CS1","CS1","CS1","CS1"
"SMARCA4","CS2","CS4","CS5","CS3","CS4"
"DDX54","CS0","CS0","CS0","CS0","CS0"
"DNTTIP2","CS1","CS1","CS1","CS1","CS1"
"FGFR1","CS4","CS4","CS4","CS2","CS4"
"FDPS","CS2","CS2","CS2","CS0","CS2"
"TGFB1","CS5","CS5","CS5","CS7","CS4"
"FAS","CS4","CS4","CS4","CS5","CS4"
"SUMO1","CS2","CS2","CS3","CS2","CS2"
"FTL","CS7","CS7","CS5","CS7","CS7"
"MPP6",NA,NA,NA,NA,NA
"FGA","CS5","CS5","CS5","CS5","CS4"
"ITGB1","CS6","CS6","CS6","CS7","CS5"
"FRS3","CS4","CS4","CS4","CS4","CS4"
"GABARAP","CS3","CS3","CS3","CS3","CS2"
"GABRG2","CS6","CS6","CS6","CS7","CS8"
"NR3C1","CS5","CS5","CS5","CS5","CS6"
"SFN","CS4","CS4","CS4","CS4","CS3"
"TGFB1I1","CS6","CS6","CS6","CS6","CS3"
"ECD","CS0","CS0","CS0","CS0","CS0"
"PFKFB2","CS4","CS4","CS4","CS4","CS5"
"GCK","CS6","CS6","CS6","CS6","CS5"
"HSPA5","CS0","CS0","CS0","CS0","CS0"
"DPH1","CS2","CS2","CS2","CS2","CS2"
"SLC2A2","CS5","CS5","CS4","CS5","CS5"
"KPNA2","CS2","CS2","CS2","CS3","CS1"
"SLC2A4","CS5","CS5","CS5","CS5","CS6"
"DAXX","CS2","CS2","CS2","CS2","CS2"
"SDCBP","CS3","CS3","CS3","CS4","CS2"
"GRIK2","CS6","CS6","CS6","CS6","CS5"
"PICK1","CS4","CS4","CS4","CS5","CS4"
"GRIK1","CS6","CS6","CS6","CS6","CS5"
"CCNT1","CS3","CS3","CS3","CS4","CS2"
"GRN","CS4","CS4","CS4","CS3","CS4"
"GNAZ","CS8","CS8","CS7","CS8","CS6"
"RGS19","CS5","CS5","CS4","CS5","CS7"
"GNAO1","CS4","CS4","CS5","CS4","CS3"
"GNAI2","CS4","CS4","CS4","CS4","CS3"
"GNAI3","CS4","CS4","CS4","CS3","CS3"
"UBE2I","CS0","CS0","CS0","CS0","CS0"
"HSF2","CS4","CS4","CS4","CS4","CS5"
"LIMK1","CS5","CS5","CS4","CS6","CS5"
"NRG1",NA,NA,NA,NA,NA
"FGF7","CS6","CS6","CS6","CS6","CS5"
"HSPG2","CS6","CS6","CS6","CS5","CS4"
"MAD2L2","CS1","CS1","CS1","CS1","CS1"
"P4HA2","CS4","CS4","CS4","CS4","CS4"
"CCR10","CS5","CS5","CS5","CS5","CS4"
"C1QBP","CS2","CS2","CS2","CS2","CS2"
"EIF3E","CS0","CS0","CS0","CS0","CS0"
"GANAB","CS4","CS4","CS4","CS3","CS4"
"HNRNPA1","CS2","CS2","CS2","CS2","CS1"
"PSMA3","CS0","CS0","CS0","CS0","CS0"
"HNRNPM","CS1","CS1","CS1","CS1","CS0"
"MAN2C1","CS5","CS5","CS5","CS5","CS4"
"SSR3","CS4","CS4","CS3","CS5","CS4"
"DDX20","CS0","CS0","CS0","CS0","CS1"
"UBAP2L","CS2","CS2","CS4","CS2","CS2"
"IMMT","CS3","CS3","CS3","CS2","CS3"
"CPSF1","CS0","CS0","CS0","CS0","CS0"
"PRMT2","CS5","CS5","CS4","CS5","CS4"
"QARS1","CS0","CS0","CS0","CS0","CS0"
"IFT88","CS5","CS5","CS4","CS4","CS5"
"BAG6","CS4","CS4","CS4","CS3","CS3"
"HTT","CS5","CS5","CS3","CS5","CS5"
"SETD2","CS2","CS2","CS2","CS4","CS2"
"HAP1","CS3","CS3","CS3","CS3","CS2"
"ZDHHC17","CS6","CS6","CS3","CS5","CS4"
"HYPK","CS1","CS1","CS0","CS1","CS0"
"YWHAQ","CS6","CS6","CS6","CS6","CS5"
"MEF2D","CS3","CS3","CS4","CS3","CS3"
"TCF3","CS5","CS5","CS4","CS4","CS6"
"ID3","CS4","CS4","CS6","CS4","CS4"
"IRS1","CS5","CS5","CS5","CS5","CS5"
"YWHAE","CS1","CS1","CS1","CS1","CS1"
"SOCS1","CS4","CS3","CS4","CS6","CS3"
"PTK2","CS1","CS1","CS1","CS0","CS1"
"MAPK8","CS6","CS6","CS6","CS5","CS7"
"IL1A","CS4","CS5","CS5","CS4","CS3"
"NDN","CS5","CS5","CS5","CS5","CS6"
"PRMT5","CS0","CS0","CS0","CS1","CS0"
"JAK2","CS4","CS4","CS5","CS4","CS3"
"KRT8","CS0","CS0","CS0","CS0","CS0"
"BYSL","CS0","CS0","CS0","CS0","CS0"
"KRT18","CS1","CS1","CS1","CS1","CS3"
"CBL","CS5","CS5","CS5","CS7","CS5"
"DNAJB6","CS2","CS2","CS2","CS2","CS3"
"LMNA","CS3","CS3","CS3","CS3","CS2"
"LMNB1","CS4","CS4","CS4","CS4","CS4"
"SREBF1","CS3","CS3","CS4","CS3","CS1"
"NARF","CS4","CS4","CS4","CS5","CS4"
"BCR","CS7","CS7","CS6","CS6","CS7"
"AFDN","CS3","CS3","CS3","CS3","CS3"
"BCL2","CS5","CS5","CS5","CS5","CS3"
"BNIPL","CS4","CS4","CS3","CS4","CS4"
"BNIP2","CS4","CS4","CS4","CS3","CS4"
"SMN1",NA,NA,NA,NA,NA
"TP53BP2","CS2","CS2","CS4","CS2","CS4"
"RTN4","CS5","CS5","CS5","CS4","CS5"
"BECN1","CS3","CS3","CS3","CS3","CS3"
"LYL1","CS4","CS4","CS4","CS4","CS3"
"NFKB1","CS6","CS6","CS6","CS6","CS4"
"PTPRC",NA,NA,NA,NA,NA
"SKAP1","CS3","CS3","CS3","CS3","CS3"
"ALOX5","CS4","CS4","CS4","CS4","CS4"
"COTL1","CS6","CS6","CS4","CS6","CS6"
"XRCC6","CS0","CS0","CS0","CS0","CS0"
"VAV1","CS6","CS6","CS6","CS5","CS6"
"NCF4","CS6","CS6","CS6","CS6","CS6"
"XRCC5","CS0","CS0","CS0","CS0","CS0"
"MRE11","CS2","CS2","CS2","CS2","CS2"
"CBX5","CS5","CS5","CS4","CS5","CS4"
"PIAS4","CS2","CS2","CS2","CS3","CS2"
"LEF1","CS6","CS6","CS5","CS6","CS6"
"MITF","CS4","CS4","CS4","CS4","CS4"
"LOX","CS6","CS6","CS6","CS6","CS5"
"DHDDS","CS0","CS0","CS0","CS0","CS0"
"YBX1","CS0","CS0","CS0","CS0","CS0"
"SRSF9","CS3","CS3","CS4","CS3","CS3"
"MC4R","CS6","CS6","CS6","CS6","CS6"
"ATRNL1","CS6","CS6","CS6","CS6","CS7"
"ATF7IP","CS5","CS5","CS3","CS5","CS8"
"MBD1","CS5","CS5","CS6","CS5","CS5"
"CHAF1A","CS0","CS0","CS0","CS0","CS0"
"PIAS3","CS4","CS4","CS4","CS4","CS6"
"PATZ1","CS5","CS4","CS5","CS6","CS4"
"ANP32A","CS6","CS6","CS6","CS5","CS6"
"MAP1B","CS6","CS6","CS4","CS6","CS3"
"MCM7","CS0","CS0","CS0","CS0","CS0"
"ORC3","CS2","CS1","CS1","CS1","CS2"
"FHL2","CS4","CS4","CS5","CS4","CS6"
"CCN3","CS6","CS6","CS6","CS5","CS5"
"POLR2L","CS0","CS0","CS0","CS0","CS0"
"KMT2A","CS3","CS3","CS2","CS3","CS4"
"PPIE","CS1","CS1","CS1","CS1","CS1"
"PPP1R15A","CS4","CS4","CS4","CS5","CS3"
"RAP1GAP","CS6","CS6","CS4","CS6","CS7"
"NECTIN1","CS6","CS6","CS6","CS6","CS4"
"PFN1","CS1","CS1","CS1","CS1","CS1"
"NGFR","CS4","CS4","CS4","CS3","CS4"
"PRKACB","CS4","CS4","CS4","CS4","CS8"
"NPY1R","CS4","CS6","CS4","CS4","CS7"
"LSM7","CS0","CS0","CS0","CS0","CS0"
"SNCA","CS7","CS7","CS5","CS7","CS6"
"SNCAIP","CS5","CS5","CS5","CS5","CS5"
"EPB41L1","CS6","CS6","CS7","CS6","CS6"
"MAP3K8","CS6","CS6","CS6","CS7","CS6"
"FOS","CS4","CS4","CS6","CS5","CS4"
"RELA","CS1","CS1","CS1","CS1","CS1"
"RNF25","CS3","CS3","CS4","CS3","CS5"
"PPP1R13L","CS4","CS4","CS4","CS4","CS4"
"FEN1","CS1","CS1","CS1","CS1","CS1"
"NOP2","CS0","CS0","CS0","CS0","CS0"
"MCRS1","CS1","CS1","CS1","CS1","CS1"
"ETS1","CS7","CS7","CS7","CS8","CS7"
"AKT1","CS5","CS5","CS5","CS4","CS3"
"PLXNA1","CS4","CS4","CS5","CS4","CS3"
"AKT2","CS5","CS5","CS3","CS5","CS4"
"APPL1","CS4","CS4","CS5","CS4","CS6"
"ETS2","CS7","CS7","CS7","CS7","CS6"
"CDK10","CS4","CS4","CS4","CS3","CS4"
"CTTN","CS4","CS4","CS4","CS4","CS4"
"SHANK2",NA,NA,NA,NA,NA
"WIPF1","CS6","CS6","CS5","CS6","CS6"
"SKI","CS5","CS5","CS5","CS5","CS4"
"SNW1","CS0","CS0","CS0","CS0","CS0"
"NRAS","CS4","CS4","CS4","CS4","CS2"
"RAP1GDS1","CS5","CS5","CS5","CS6","CS6"
"MET","CS4","CS4","CS4","CS4","CS4"
"GLMN","CS2","CS2","CS2","CS3","CS2"
"FOXG1","CS5","CS5","CS6","CS5","CS5"
"KDM5B","CS3","CS3","CS4","CS3","CS4"
"PPP4C","CS1","CS1","CS0","CS1","CS1"
"REL","CS5","CS5","CS5","CS5","CS4"
"FLT1","CS6","CS6","CS6","CS6","CS6"
"SHC1","CS3","CS3","CS4","CS2","CS3"
"OPRD1","CS7","CS7","CS7","CS7","CS6"
"GPRASP1","CS6","CS6","CS6","CS7","CS6"
"MYO1C","CS4","CS4","CS4","CS4","CS4"
"PDE6D","CS4","CS4","CS5","CS4","CS5"
"RHOB","CS4","CS4","CS4","CS5","CS4"
"RHOA","CS2","CS2","CS1","CS2","CS1"
"PAX5","CS5","CS5","CS5","CS4","CS5"
"TLE4","CS6","CS6","CS6","CS6","CS6"
"PAX9","CS5","CS5","CS5","CS5","CS6"
"KALRN","CS4","CS4","CS4","CS4","CS4"
"PAM","CS5","CS5","CS5","CS5","CS5"
"PPARA","CS5","CS5","CS5","CS5","CS6"
"NRBF2","CS2","CS2","CS2","CS2","CS2"
"PIK3CA","CS3","CS3","CS2","CS3","CS2"
"PIK3R3","CS3","CS3","CS5","CS3","CS2"
"APOA1","CS6","CS6","CS6","CS7","CS6"
"PDE1A","CS6","CS6","CS6","CS6","CS6"
"LSM8","CS0","CS0","CS0","CS0","CS0"
"PGD","CS0","CS0","CS0","CS0","CS1"
"SELP","CS4","CS4","CS4","CS4","CS6"
"SNX17","CS4","CS4","CS4","CS3","CS4"
"PKD1","CS1","CS1","CS2","CS3","CS1"
"PKD2","CS6","CS6","CS6","CS6","CS7"
"TRPC1","CS5","CS5","CS5","CS5","CS5"
"KCNA4","CS5","CS5","CS4","CS4","CS5"
"DLG1","CS4","CS4","CS4","CS4","CS5"
"PFN2","CS4","CS4","CS4","CS4","CS3"
"FHOD1","CS5","CS5","CS5","CS4","CS6"
"HUS1","CS2","CS2","CS1","CS2","CS2"
"PTPRB","CS7","CS7","CS7","CS7","CS5"
"MAGI3","CS5","CS5","CS5","CS3","CS5"
"PRKAR1A","CS2","CS2","CS2","CS1","CS2"
"PRKAR1B","CS6","CS6","CS6","CS5","CS6"
"AKAP1","CS5","CS5","CS5","CS5","CS3"
"FER","CS6","CS6","CS3","CS4","CS5"
"TMF1","CS4","CS4","CS5","CS5","CS4"
"MAPK1","CS5","CS5","CS4","CS7","CS5"
"NEK2","CS4","CS4","CS4","CS4","CS3"
"RACK1","CS0","CS0","CS0","CS0","CS0"
"HABP4","CS4","CS4","CS5","CS4","CS3"
"NSMAF","CS5","CS5","CS5","CS5","CS5"
"AR","CS6","CS6","CS5","CS6","CS6"
"ITGB2","CS5","CS5","CS5","CS4","CS6"
"PDPK1","CS0","CS0","CS1","CS0","CS1"
"PRKCZ","CS3","CS3","CS3","CS2","CS3"
"WWC1","CS6","CS6","CS6","CS6","CS5"
"MAF","CS3","CS3","CS3","CS4","CS3"
"RHOG","CS4","CS4","CS6","CS4","CS4"
"ARHGDIG","CS4","CS4","CS4","CS4","CS4"
"RAB4A","CS5","CS5","CS4","CS5","CS2"
"CD2AP","CS6","CS6","CS5","CS6","CS6"
"RAB5A","CS4","CS4","CS4","CS4","CS4"
"RABEP1","CS5","CS5","CS5","CS6","CS5"
"RAB5B","CS6","CS6","CS5","CS6","CS5"
"RIN3","CS4","CS5","CS5","CS4","CS4"
"RAP1A","CS3","CS3","CS5","CS3","CS5"
"KRIT1","CS6","CS6","CS5","CS6","CS5"
"RGL2","CS6","CS6","CS6","CS5","CS6"
"RAP1B","CS1","CS1","CS1","CS1","CS1"
"RAP2B","CS6","CS6","CS6","CS6","CS5"
"RALA","CS4","CS4","CS4","CS4","CS5"
"EXOC8","CS1","CS1","CS1","CS1","CS1"
"HBP1","CS4","CS4","CS5","CS4","CS4"
"TRAP1","CS5","CS5","CS5","CS5","CS6"
"AATF","CS1","CS1","CS1","CS1","CS1"
"THOC1","CS0","CS0","CS1","CS0","CS0"
"RBL2","CS6","CS6","CS6","CS6","CS5"
"RXRA","CS5","CS5","CS6","CS5","CS2"
"BRD8","CS1","CS1","CS2","CS1","CS1"
"LMO2","CS6","CS6","CS6","CS5","CS6"
"KDM5A","CS4","CS4","CS3","CS3","CS4"
"TAL1","CS3","CS5","CS5","CS4","CS4"
"RPS25","CS0","CS0","CS0","CS0","CS0"
"UPF2","CS0","CS0","CS0","CS0","CS0"
"RPLP1","CS0","CS0","CS0","CS0","CS0"
"RPLP2","CS0","CS0","CS0","CS0","CS0"
"ARFRP1","CS1","CS1","CS1","CS1","CS1"
"CYTH1","CS4","CS4","CS4","CS3","CS4"
"TOP3B","CS5","CS5","CS5","CS5","CS4"
"SNRPB","CS0","CS0","CS0","CS0","CS0"
"SNRPA","CS3","CS3","CS3","CS3","CS4"
"SLC9A3","CS4","CS4","CS5","CS5","CS3"
"PDZK1","CS2","CS2","CS3","CS2","CS2"
"SLC17A1","CS6","CS6","CS5","CS7","CS6"
"ANK1","CS6","CS6","CS6","CS6","CS5"
"OBSCN","CS7","CS7","CS7","CS6","CS7"
"SOX9","CS3","CS3","CS3","CS3","CS2"
"NR5A1","CS5","CS5","CS5","CS3","CS5"
"NRIP1","CS8","CS8","CS8","CS6","CS5"
"CLU","CS6","CS6","CS5","CS5","CS6"
"TGFBR2","CS4","CS4","CS5","CS4","CS4"
"UNC13B","CS3","CS3","CS4","CS3","CS3"
"STX1A","CS6","CS6","CS5","CS7","CS5"
"SIVA1","CS4","CS4","CS4","CS2","CS4"
"CD27","CS4","CS4","CS3","CS4","CS3"
"TGFBR1","CS4","CS4","CS4","CS3","CS4"
"FKBP1A","CS2","CS2","CS2","CS2","CS2"
"YY1","CS1","CS1","CS2","CS1","CS1"
"FKBP2","CS4","CS4","CS4","CS4","CS4"
"ARFGEF1","CS5","CS5","CS5","CS5","CS4"
"NCAPG2","CS0","CS0","CS0","CS0","CS0"
"MYO7A","CS5","CS5","CS5","CS4","CS5"
"AKAP10","CS4","CS4","CS4","CS4","CS5"
"APBB1","CS6","CS6","CS5","CS6","CS7"
"TFCP2","CS5","CS5","CS5","CS5","CS4"
"NFYB","CS1","CS1","CS1","CS1","CS1"
"CEBPZ","CS0","CS0","CS0","CS0","CS1"
"ZEB1","CS4","CS4","CS4","CS4","CS3"
"DRAP1","CS2","CS2","CS2","CS2","CS1"
"KAT5","CS0","CS1","CS1","CS0","CS1"
"E2F1","CS2","CS2","CS3","CS2","CS2"
"ABL1","CS4","CS4","CS4","CS6","CS6"
"ATM","CS7","CS7","CS7","CS6","CS8"
"NTRK1","CS5","CS5","CS5","CS3","CS4"
"HRAS","CS4","CS4","CS4","CS4","CS3"
"KRAS","CS3","CS3","CS3","CS2","CS2"
"SRC","CS4","CS4","CS4","CS4","CS3"
"EPHB2","CS6","CS6","CS6","CS6","CS7"
"TNFAIP3","CS6","CS6","CS6","CS5","CS5"
"TAX1BP1","CS4","CS4","CS4","CS5","CS4"
"TP53","CS9","CS9","CS9","CS9","CS9"
"WWOX","CS7","CS7","CS7","CS8","CS5"
"CDC14A","CS5","CS5","CS6","CS4","CS5"
"TNFRSF1A","CS6","CS6","CS7","CS7","CS5"
"PSMD2","CS0","CS0","CS0","CS0","CS0"
"SHC2","CS5","CS5","CS5","CS5","CS5"
"DDR2","CS4","CS4","CS4","CS4","CS5"
"CTNND1","CS4","CS4","CS4","CS3","CS1"
"CDH1","CS4","CS4","CS5","CS4","CS5"
"CBLL1","CS2","CS2","CS2","CS1","CS2"
"BIN1","CS4","CS4","CS6","CS4","CS4"
"ITGA1","CS4","CS4","CS4","CS5","CS4"
"EED","CS1","CS4","CS1","CS3","CS5"
"ITGA4","CS3","CS3","CS4","CS3","CS5"
"VHL","CS1","CS1","CS2","CS6","CS1"
"VBP1","CS1","CS1","CS2","CS3","CS1"
"JADE1","CS6","CS6","CS6","CS5","CS5"
"XRCC1","CS2","CS2","CS2","CS4","CS2"
"LIG3","CS2","CS4","CS2","CS4","CS3"
"PNKP","CS2","CS2","CS2","CS2","CS2"
"ZNF24","CS4","CS4","CS4","CS3","CS4"
"ZNF174","CS3","CS3","CS3","CS3","CS4"
"ZNF10","CS4","CS4","CS4","CS5","CS6"
"TRIM28","CS3","CS3","CS3","CS3","CS3"
"TRIM24","CS6","CS6","CS6","CS4","CS7"
"MEFV","CS6","CS6","CS6","CS6","CS5"
"COG5","CS5","CS5","CS3","CS2","CS5"
"VEZT","CS2","CS2","CS2","CS2","CS2"
"XPA","CS5","CS5","CS5","CS5","CS4"
"RPA4","CS4","CS4","CS5","CS4","CS6"
"RAD23A","CS4","CS4","CS4","CS3","CS3"
"XPC","CS7","CS7","CS7","CS6","CS5"
"CMIP","CS2","CS2","CS2","CS3","CS2"
"TRIO","CS2","CS2","CS2","CS2","CS2"
"CASR","CS5","CS5","CS5","CS4","CS6"
"HCFC1","CS0","CS0","CS0","CS0","CS0"
"GABPA","CS1","CS1","CS1","CS1","CS1"
"AGTR2","CS5","CS5","CS5","CS5","CS6"
"MTUS1","CS6","CS5","CS6","CS5","CS6"
"USP11","CS7","CS7","CS7","CS7","CS6"
"RANBP9","CS4","CS4","CS4","CS4","CS2"
"SFPQ","CS0","CS0","CS0","CS0","CS0"
"NONO","CS4","CS4","CS2","CS4","CS4"
"PRKCI","CS2","CS2","CS2","CS2","CS4"
"BMX","CS7","CS7","CS6","CS6","CS7"
"PTPN21","CS5","CS5","CS6","CS5","CS5"
"TRO","CS7","CS7","CS7","CS7","CS7"
"CITED1","CS5","CS5","CS7","CS5","CS4"
"CASK","CS6","CS6","CS7","CS6","CS6"
"TBR1","CS6","CS6","CS6","CS5","CS4"
"ID1","CS5","CS5","CS5","CS4","CS4"
"LRP2","CS3","CS3","CS5","CS3","CS3"
"DLG3","CS7","CS7","CS5","CS7","CS7"
"ERBB4","CS5","CS5","CS5","CS5","CS4"
"NCS1","CS5","CS5","CS5","CS5","CS5"
"IL1RAPL1","CS6","CS6","CS4","CS6","CS7"
"ARHGEF11","CS4","CS4","CS4","CS3","CS4"
"PLXNB3","CS5","CS5","CS5","CS4","CS5"
"UNC5A","CS6","CS6","CS5","CS5","CS4"
"MAGED1","CS5","CS5","CS5","CS5","CS5"
"LRPPRC","CS1","CS1","CS1","CS5","CS1"
"UXT","CS1","CS1","CS1","CS1","CS1"
"SUV39H1","CS5","CS5","CS5","CS5","CS4"
"UBE3A","CS5","CS5","CS4","CS5","CS6"
"UBQLN2","CS6","CS6","CS6","CS6","CS6"
"RAB9A","CS7","CS6","CS6","CS7","CS6"
"RABEPK","CS4","CS4","CS3","CS4","CS5"
"KLF8","CS5","CS5","CS5","CS5","CS5"
"CTBP2","CS3","CS3","CS1","CS2","CS3"
"TTC19","CS3","CS3","CS2","CS3","CS3"
"UPF3B","CS4","CS4","CS6","CS4","CS5"
"XPO1","CS0","CS0","CS0","CS0","CS0"
"NXF3","CS5","CS5","CS6","CS4","CS5"
"TIMM8A","CS1","CS1","CS1","CS1","CS1"
"STAM","CS6","CS6","CS5","CS6","CS6"
"SH3KBP1","CS7","CS7","CS7","CS7","CS7"
"SH3GL3","CS6","CS6","CS4","CS6","CS6"
"DMD","CS6","CS6","CS6","CS6","CS6"
"DTNA","CS6","CS6","CS6","CS7","CS6"
"WAS","CS6","CS6","CS6","CS6","CS6"
"ARHGEF9","CS5","CS5","CS5","CS5","CS5"
