label,label_wo_outliers
HAND2,CS5,CS5
HGS,CS1,CS1
CLTC,CS0,CS0
COL1A1,CS4,CS4
IGFBP3,CS4,CS4
TXN,CS0,CS0
ATF2,CS6,CS6
SMAD3,CS5,CS5
SMAD4,CS4,CS4
CCND3,CS4,CS4
EIF3K,CS3,CS3
CCNB1,CS1,CS1
RALBP1,CS3,CS3
PPIB,CS4,CS4
CAMLG,CS2,CS2
CSRP1,CS5,CS5
INSR,CS5,CS5
CSK,CS4,CS4
IGF1R,CS4,CS4
EGFR,CS4,CS4
DCN,CS6,CS6
ARNT,CS4,CS4
SIM2,CS5,CS5
SIM1,CS5,CS5
NPAS4,CS3,CS3
ZBTB16,CS6,CS6
HBEGF,CS5,CS5
PCNA,CS0,CS0
GADD45A,CS7,CS7
TOP2B,CS6,CS6
TOPBP1,CS0,CS0
FLNA,CS6,CS6
DRD3,CS4,CS4
SNRPE,,
LSM3,CS0,CS0
LSM4,CS0,CS0
LSM5,CS0,CS0
EGR1,CS4,CS4
CREBBP,CS5,CS5
EPB41,CS5,CS5
NUMA1,CS1,CS1
EEF1A1,CS0,CS0
EXOSC4,CS0,CS0
PLCG1,CS5,CS5
EEF1D,CS4,CS4
KTN1,CS7,CS7
ANXA5,CS6,CS6
KDR,CS4,CS4
ESR1,CS5,CS5
PPARGC1B,CS1,CS1
SMARCA4,CS3,CS3
DDX54,CS0,CS0
DNTTIP2,CS1,CS1
FGFR1,CS5,CS5
FDPS,CS2,CS2
TGFB1,CS5,CS5
FAS,CS4,CS4
SUMO1,CS2,CS2
FTL,CS5,CS5
MPP6,,
FGA,CS5,CS5
ITGB1,CS2,CS2
FRS3,CS3,CS3
GABARAP,CS3,CS3
GABRG2,CS6,CS6
NR3C1,CS5,CS5
SFN,CS4,CS4
TGFB1I1,CS6,CS6
ECD,CS0,CS0
PFKFB2,CS5,CS5
GCK,CS6,CS6
HSPA5,CS0,CS0
DPH1,CS3,CS3
SLC2A2,CS6,CS6
KPNA2,CS3,CS3
SLC2A4,CS5,CS5
DAXX,CS3,CS3
SDCBP,CS4,CS4
GRIK2,CS6,CS6
PICK1,CS4,CS4
GRIK1,CS4,CS4
CCNT1,CS3,CS3
GRN,CS3,CS3
GNAZ,CS7,CS7
RGS19,CS5,CS5
GNAO1,CS4,CS4
GNAI2,CS3,CS3
GNAI3,CS4,CS4
UBE2I,CS0,CS0
HSF2,CS4,CS4
LIMK1,CS5,CS5
NRG1,,
FGF7,CS6,CS6
HSPG2,CS5,CS5
MAD2L2,CS1,CS1
P4HA2,CS5,CS5
CCR10,CS5,CS5
C1QBP,CS2,CS2
EIF3E,CS0,CS0
GANAB,CS4,CS4
HNRNPA1,CS2,CS2
PSMA3,CS0,CS0
HNRNPM,CS0,CS0
MAN2C1,CS5,CS5
SSR3,CS4,CS4
DDX20,CS0,CS0
UBAP2L,CS2,CS2
IMMT,CS2,CS2
CPSF1,CS0,CS0
PRMT2,CS5,CS5
QARS1,CS0,CS0
IFT88,CS4,CS4
BAG6,CS4,CS4
HTT,CS4,CS4
SETD2,CS2,CS2
HAP1,CS2,CS2
ZDHHC17,CS5,CS5
HYPK,CS1,CS1
YWHAQ,CS6,CS6
MEF2D,CS5,CS5
TCF3,CS5,CS5
ID3,CS5,CS5
IRS1,CS5,CS5
YWHAE,CS1,CS1
SOCS1,CS4,CS4
PTK2,CS2,CS2
MAPK8,CS6,CS6
IL1A,CS5,CS5
NDN,CS6,CS6
PRMT5,CS0,CS0
JAK2,CS6,CS6
KRT8,CS0,CS0
BYSL,CS0,CS0
KRT18,CS1,CS1
CBL,CS6,CS6
DNAJB6,CS2,CS2
LMNA,CS3,CS3
LMNB1,CS4,CS4
SREBF1,CS1,CS1
NARF,CS4,CS4
BCR,CS7,CS7
AFDN,CS4,CS4
BCL2,CS6,CS6
BNIPL,CS4,CS4
BNIP2,CS3,CS3
SMN1,,
TP53BP2,CS4,CS4
RTN4,CS5,CS5
BECN1,CS3,CS3
LYL1,CS4,CS4
NFKB1,CS6,CS6
PTPRC,,
SKAP1,CS4,CS4
ALOX5,CS3,CS3
COTL1,CS5,CS5
XRCC6,CS0,CS0
VAV1,CS5,CS5
NCF4,CS6,CS6
XRCC5,CS0,CS0
MRE11,CS1,CS1
CBX5,CS4,CS4
PIAS4,CS3,CS3
LEF1,CS6,CS6
MITF,CS5,CS5
LOX,CS5,CS5
DHDDS,CS0,CS0
YBX1,CS0,CS0
SRSF9,CS3,CS3
MC4R,CS6,CS6
ATRNL1,CS7,CS7
ATF7IP,CS4,CS4
MBD1,CS5,CS5
CHAF1A,CS0,CS0
PIAS3,CS3,CS3
PATZ1,CS5,CS5
ANP32A,CS4,CS4
MAP1B,CS5,CS5
MCM7,CS0,CS0
ORC3,CS2,CS2
FHL2,CS5,CS5
CCN3,CS6,CS6
POLR2L,CS0,CS0
KMT2A,CS3,CS3
PPIE,CS1,CS1
PPP1R15A,CS4,CS4
RAP1GAP,CS6,CS6
NECTIN1,CS6,CS6
PFN1,CS1,CS1
NGFR,CS3,CS3
PRKACB,CS5,CS5
NPY1R,CS5,CS5
LSM7,CS0,CS0
SNCA,CS7,CS7
SNCAIP,CS6,CS6
EPB41L1,CS6,CS6
MAP3K8,CS5,CS5
FOS,CS5,CS5
RELA,CS2,CS2
RNF25,CS3,CS3
PPP1R13L,CS5,CS5
FEN1,CS1,CS1
NOP2,CS0,CS0
MCRS1,CS1,CS1
ETS1,CS6,CS6
AKT1,CS5,CS5
PLXNA1,CS5,CS5
AKT2,CS5,CS5
APPL1,CS5,CS5
ETS2,CS8,CS8
CDK10,CS3,CS3
CTTN,CS3,CS3
SHANK2,,
WIPF1,CS6,CS6
SKI,CS5,CS5
SNW1,CS0,CS0
NRAS,CS4,CS4
RAP1GDS1,CS6,CS6
MET,CS4,CS4
GLMN,CS3,CS3
FOXG1,CS5,CS5
KDM5B,CS4,CS4
EZH2,CS4,CS4
PPP4C,CS0,CS0
REL,CS5,CS5
FLT1,CS6,CS6
SHC1,CS2,CS2
OPRD1,CS7,CS7
GPRASP1,CS6,CS6
MYO1C,CS4,CS4
PDE6D,CS5,CS5
RHOB,CS4,CS4
RHOA,CS2,CS2
PAX5,CS4,CS4
TLE4,CS6,CS6
PAX9,CS6,CS6
KALRN,CS4,CS4
PAM,CS5,CS5
PPARA,CS5,CS5
NRBF2,CS2,CS2
PIK3CA,CS2,CS2
PIK3R3,CS4,CS4
LSM8,CS0,CS0
PGD,CS1,CS1
SELP,CS5,CS5
SNX17,CS3,CS3
PKD1,CS2,CS2
PKD2,CS5,CS5
TRPC1,CS6,CS6
KCNA4,CS5,CS5
DLG1,CS5,CS5
PFN2,CS5,CS5
FHOD1,CS5,CS5
HUS1,CS2,CS2
PTPRB,CS5,CS5
MAGI3,CS6,CS6
PRKAR1A,CS5,CS5
PRKAR1B,CS7,CS7
AKAP1,CS5,CS5
FER,CS4,CS4
TMF1,CS5,CS5
MAPK1,CS5,CS5
NEK2,CS4,CS4
RACK1,CS0,CS0
HABP4,CS5,CS5
NSMAF,CS5,CS5
AR,CS5,CS5
ITGB2,CS6,CS6
PDPK1,CS1,CS1
PRKCZ,CS4,CS4
WWC1,CS6,CS6
MAF,CS5,CS5
RHOG,CS5,CS5
ARHGDIG,CS5,CS5
RAB4A,CS4,CS4
CD2AP,CS5,CS5
RAB5A,CS5,CS5
RABEP1,CS5,CS5
RAB5B,CS6,CS6
RIN3,CS5,CS5
RAP1A,CS4,CS4
KRIT1,CS6,CS6
RGL2,CS6,CS6
RAP1B,CS1,CS1
RAP2B,CS6,CS6
RALA,CS4,CS4
EXOC8,CS2,CS2
HBP1,CS5,CS5
TRAP1,CS5,CS5
AATF,CS1,CS1
THOC1,CS0,CS0
RBL2,CS6,CS6
RXRA,CS5,CS5
BRD8,CS1,CS1
LMO2,CS6,CS6
KDM5A,CS4,CS4
TAL1,CS4,CS4
RPS25,CS0,CS0
UPF2,CS0,CS0
RPLP1,CS0,CS0
RPLP2,CS0,CS0
ARFRP1,CS1,CS1
CYTH1,CS4,CS4
TOP3B,CS4,CS4
SNRPB,CS0,CS0
SNRPA,CS2,CS2
SOX9,CS3,CS3
NR5A1,CS4,CS4
NRIP1,CS7,CS7
CLU,CS6,CS6
TGFBR2,CS5,CS5
UNC13B,CS4,CS4
STX1A,CS5,CS5
SIVA1,CS4,CS4
CD27,CS5,CS5
TGFBR1,CS3,CS3
FKBP1A,CS2,CS2
YY1,CS1,CS1
FKBP2,CS4,CS4
ARFGEF1,CS5,CS5
NCAPG2,CS1,CS1
MYO7A,CS4,CS4
AKAP10,CS4,CS4
TCAP,CS4,CS4
APBB1,CS5,CS5
TFCP2,CS5,CS5
NFYB,CS1,CS1
CEBPZ,CS0,CS0
ZEB1,CS4,CS4
DRAP1,CS2,CS2
KAT5,CS1,CS1
E2F1,CS2,CS2
ABL1,CS5,CS5
ATM,CS5,CS5
NTRK1,CS4,CS4
HRAS,CS5,CS5
FES,CS3,CS3
HSH2D,,
KRAS,CS2,CS2
SRC,CS5,CS5
EPHB2,CS5,CS5
TNNT1,CS5,CS5
TNNC1,CS4,CS4
TNFAIP3,CS6,CS6
TAX1BP1,CS5,CS5
TP53,CS7,CS7
WWOX,CS8,CS8
CDC14A,CS5,CS5
TNFRSF1A,CS7,CS7
PSMD2,CS0,CS0
SHC2,CS6,CS6
DDR2,CS5,CS5
CTNND1,CS4,CS4
CDH1,CS6,CS6
CBLL1,CS3,CS3
BIN1,CS4,CS4
ITGA1,CS4,CS4
EED,CS3,CS3
ITGA4,CS5,CS5
GATA1,CS5,CS5
FLI1,CS5,CS5
VHL,CS1,CS1
VBP1,CS1,CS1
JADE1,CS6,CS6
XRCC1,CS3,CS3
LIG3,CS2,CS2
PNKP,CS2,CS2
ZNF24,CS5,CS5
ZNF174,CS4,CS4
ZNF10,CS4,CS4
TRIM28,CS3,CS3
TRIM24,CS6,CS6
MEFV,CS5,CS5
COG5,CS3,CS3
VEZT,CS1,CS1
XPA,CS5,CS5
RPA4,CS4,CS4
RAD23A,CS3,CS3
XPC,CS6,CS6
CMIP,CS4,CS4
TRIO,CS6,CS6
CASR,CS6,CS6
HCFC1,CS0,CS0
GABPA,CS1,CS1
AGTR2,CS6,CS6
MTUS1,CS5,CS5
USP11,CS7,CS7
RANBP9,CS4,CS4
SFPQ,CS0,CS0
NONO,CS3,CS3
PRKCI,CS5,CS5
BMX,CS7,CS7
PTPN21,CS6,CS6
CITED1,CS5,CS5
ACTN3,,
MYPN,CS5,CS5
CASK,CS6,CS6
TBR1,CS5,CS5
ID1,CS5,CS5
LRP2,CS4,CS4
DLG3,CS6,CS6
ERBB4,CS5,CS5
ARHGEF11,CS4,CS4
PLXNB3,CS5,CS5
UNC5A,CS5,CS5
MAGED1,CS5,CS5
LRPPRC,CS1,CS1
UXT,CS1,CS1
SUV39H1,CS4,CS4
UBE3A,CS3,CS3
UBQLN2,CS6,CS6
RAB9A,CS6,CS6
RABEPK,CS4,CS4
KLF8,CS5,CS5
CTBP2,CS2,CS2
TTC19,CS3,CS3
UPF3B,CS4,CS4
XPO1,CS0,CS0
NXF3,CS6,CS6
TIMM8A,CS1,CS1
STAM,CS6,CS6
SH3KBP1,CS7,CS7
SH3GL3,CS5,CS5
DMD,CS6,CS6
DTNA,CS7,CS7
WAS,CS6,CS6
ARHGEF9,CS6,CS6
GPHN,CS6,CS6
PQBP1,CS2,CS2
TXNL4A,CS0,CS0
WBP11,CS0,CS0
ZFPM2,CS6,CS6
PHYH,CS5,CS5
F8,CS6,CS6
SH2D1A,CS6,CS6
SLAMF1,CS4,CS4
FMR1,CS6,CS6
FXR1,CS6,CS6
NUFIP1,CS1,CS1
MSN,CS4,CS4
TSC1,CS8,CS8
ASS1,CS2,CS2
ARAF,CS6,CS6
MAP2K2,CS4,CS4
COPS3,CS1,CS1
POLA1,CS1,CS1
RBMS1,CS4,CS4
RPGR,CS6,CS6
RPGRIP1,CS5,CS5
MPDZ,CS6,CS6
HTR2C,CS6,CS6
AP1G1,CS4,CS4
SYP,CS6,CS6
UBTF,CS0,CS0
TAF1,CS1,CS1
RAN,CS0,CS0
NR2C2,CS4,CS4
NCOA3,CS6,CS6
RNF4,CS1,CS1
NCOA4,CS1,CS1
PAK6,CS5,CS5
RCHY1,CS5,CS5
PIAS2,CS5,CS5
BPY2B,,
INSM1,CS6,CS6
SORBS1,CS6,CS6
YAF2,CS4,CS4
CBX3,CS4,CS4
LBR,CS7,CS7
KLC1,CS6,CS6
MAPK8IP3,CS5,CS5
SNTB2,CS4,CS4
BCL2L1,CS1,CS1
AVEN,CS4,CS4
BNIP3,CS3,CS3
RTN1,CS5,CS5
BAX,CS6,CS6
BCL2A1,CS5,CS5
ABCA1,CS5,CS5
FADD,CS2,CS2
ANKRA2,CS3,CS3
LRP2BP,CS6,CS6
DAB2,CS6,CS6
DLG2,CS6,CS6
TBP,CS1,CS1
TAF13,CS2,CS2
PSTPIP1,CS5,CS5
PTPN12,CS5,CS5
PXN,CS2,CS2
TUFT1,CS4,CS4
TFIP11,CS1,CS1
PDE4D,CS5,CS5
PDE4DIP,,
HNF4A,CS6,CS6
NFE2L2,CS3,CS3
TDG,CS3,CS3
AIRE,CS7,CS7
AP1B1,CS4,CS4
CDKN2A,CS7,CS7
PPP1R9B,,
TIAF1,CS4,CS4
JAK3,CS4,CS4
STAT5A,CS2,CS2
RPL5,CS0,CS0
EIF5A,CS1,CS1
TLE5,CS4,CS4
PTRH2,CS3,CS3
TLE1,CS5,CS5
HES6,CS4,CS4
FOXA2,CS5,CS5
IL6ST,CS5,CS5
DVL1,CS4,CS4
EPS8,CS6,CS6
FASN,CS3,CS3
HIRA,CS1,CS1
UPF1,CS0,CS0
NFU1,CS2,CS2
PTPN13,CS6,CS6
PKN2,CS3,CS3
DSC3,CS5,CS5
PKP4,CS5,CS5
COIL,CS2,CS2
ATXN1,CS6,CS6
PEX19,CS5,CS5
PEX16,CS6,CS6
NUBP1,CS0,CS0
ZNHIT3,CS1,CS1
GARS1,CS0,CS0
IARS1,CS0,CS0
HTRA2,CS3,CS3
MAPK14,CS4,CS4
DUSP10,CS5,CS5
PCM1,CS2,CS2
BBS4,CS6,CS6
BCAR1,CS1,CS1
RAPGEF1,CS5,CS5
PSMB5,CS0,CS0
S100A7,,
FLII,CS2,CS2
TRAIP,CS1,CS1
CSTF2,CS5,CS5
SUB1,CS4,CS4
XRCC2,CS2,CS2
RAD51D,CS1,CS1
MSC,CS5,CS5
ID2,CS5,CS5
TCF12,CS6,CS6
TCF4,CS6,CS6
PEX12,CS5,CS5
PEX5,CS4,CS4
PEX13,CS3,CS3
ARF6,CS4,CS4
NCBP2,CS0,CS0
NCBP1,CS0,CS0
PMF1,CS0,CS0
EIF2AK3,CS5,CS5
IGHMBP2,CS5,CS5
KCNJ4,CS4,CS4
DLG4,CS5,CS5
NCK1,CS5,CS5
EPHB1,CS5,CS5
MINK1,CS6,CS6
KPNA4,CS3,CS3
RECQL,CS5,CS5
YAP1,CS2,CS2
PIAS1,CS3,CS3
STAT1,CS5,CS5
MAPKAPK2,CS5,CS5
S100P,CS5,CS5
KCNJ2,CS5,CS5
AP2M1,CS1,CS1
LY9,CS5,CS5
TIAM1,CS4,CS4
HNRNPL,CS0,CS0
PTBP1,CS2,CS2
IFI35,CS5,CS5
NMI,CS6,CS6
SYN2,,
KCNIP3,CS3,CS3
TTF1,CS2,CS2
CAVIN1,CS7,CS7
CDKN1B,CS6,CS6
NUP50,CS1,CS1
BMPR2,CS4,CS4
CYFIP2,,
INPPL1,CS4,CS4
SPEN,CS4,CS4
NCOR2,CS5,CS5
CDKN1C,CS7,CS7
UGCG,CS5,CS5
SERPINH1,CS6,CS6
UBQLN4,CS1,CS1
NEUROD1,CS5,CS5
DCTN1,CS2,CS2
COPB1,CS0,CS0
COPG1,CS0,CS0
COPG2,,
MYO6,CS5,CS5
DCP1A,,
MAZ,CS5,CS5
BPTF,CS1,CS1
TJP1,CS4,CS4
F11R,CS3,CS3
ADAM17,CS7,CS7
NPC2,CS5,CS5
PLXNB1,CS5,CS5
BOK,CS5,CS5
BAD,CS4,CS4
LSM6,CS0,CS0
SNRPD2,CS0,CS0
SNRPD3,,
SNRPD1,CS0,CS0
MPP3,CS4,CS4
CADM1,CS5,CS5
THOP1,CS4,CS4
CSPG4,CS4,CS4
GRIP2,,
RANBP1,CS1,CS1
CDC6,CS0,CS0
CDC45,CS0,CS0
PTK2B,CS7,CS7
MTOR,CS0,CS0
UBQLN1,CS5,CS5
ITGA3,CS6,CS6
SNX4,CS5,CS5
BMPR1A,CS2,CS2
SF3B4,CS0,CS0
HNRNPD,CS4,CS4
HECW1,CS6,CS6
VPS37A,CS1,CS1
ETV6,CS5,CS5
MYBL2,CS1,CS1
ZNF622,CS3,CS3
SKP1,CS0,CS0
CACYBP,CS2,CS2
MAD2L1,CS0,CS0
ESR2,CS5,CS5
PPARG,CS5,CS5
HSPA8,CS1,CS1
BAG1,CS4,CS4
GRB10,CS7,CS7
GIGYF2,CS3,CS3
PROX1,CS5,CS5
USP7,CS1,CS1
KHDRBS1,CS4,CS4
RAPSN,CS4,CS4
TFAP2C,CS3,CS3
RIT1,CS3,CS3
MRAS,CS5,CS5
PGR,CS6,CS6
PSMD4,CS0,CS0
RAD23B,CS4,CS4
GTF2I,CS4,CS4
THRB,CS6,CS6
PSMC5,CS0,CS0
TRAF1,CS6,CS6
HIVEP3,CS4,CS4
SMARCD2,CS3,CS3
CUL5,CS7,CS7
RNF7,CS7,CS7
SETDB1,CS2,CS2
PEX7,CS5,CS5
PEX10,CS4,CS4
STK19,CS5,CS5
SP3,CS4,CS4
MCM6,CS0,CS0
RFXAP,CS4,CS4
RFX5,CS3,CS3
TRAF2,CS4,CS4
BCL2L11,,
BCL2L2,CS4,CS4
PTK6,CS3,CS3
STAP2,CS6,CS6
PSMB1,CS0,CS0
EXOSC6,CS0,CS0
DCP2,CS2,CS2
PPP1R12A,CS0,CS0
IL16,CS6,CS6
CBX4,CS4,CS4
RING1,CS3,CS3
RAC1,CS1,CS1
RAC2,CS4,CS4
CUL1,CS1,CS1
TALDO1,CS4,CS4
TACC1,CS5,CS5
YEATS4,CS1,CS1
CLNS1A,CS0,CS0
KIF22,CS3,CS3
SIAH1,CS6,CS6
PEG10,CS7,CS7
SIAH2,CS6,CS6
ATXN7,CS6,CS6
CRX,CS4,CS4
NEDD4,CS6,CS6
UBE2D2,CS4,CS4
TTF2,CS1,CS1
ILK,CS2,CS2
ILKAP,CS5,CS5
LIMS1,CS1,CS1
DNM2,CS0,CS0
SHANK1,CS7,CS7
BLMH,CS5,CS5
PPP2R5D,CS4,CS4
COPS5,CS0,CS0
CFTR,CS6,CS6
GOPC,CS5,CS5
SLBP,CS1,CS1
ERI1,CS3,CS3
SCAMP1,,
ITSN1,CS6,CS6
IPCEF1,CS4,CS4
CYTH2,CS4,CS4
NR0B1,CS6,CS6
HEXIM1,CS2,CS2
COPB2,CS0,CS0
RGS4,CS6,CS6
MAP2K5,CS5,CS5
MAP3K3,CS5,CS5
SNAP23,CS1,CS1
SNAPIN,CS1,CS1
ARNTL,CS4,CS4
RANBP3,CS2,CS2
GOLGA2,CS4,CS4
GORASP2,CS5,CS5
MAGOH,CS1,CS1
RBM8A,CS0,CS0
ASIC3,CS7,CS7
TOLLIP,CS7,CS7
IL1RAP,CS6,CS6
PPP1R8,CS0,CS0
EIF4A1,CS0,CS0
RND1,CS3,CS3
RND3,CS6,CS6
ARHGAP5,CS5,CS5
HNRNPAB,CS5,CS5
TP63,CS5,CS5
NCOA1,CS4,CS4
NR1H4,CS3,CS3
CLSTN1,CS5,CS5
APBA2,CS4,CS4
FYB1,CS6,CS6
PRKAG1,CS2,CS2
PRKAB1,CS5,CS5
PRKAG2,CS4,CS4
PRKAB2,CS4,CS4
TNPO1,CS2,CS2
RGPD5,,
DNMT3A,CS6,CS6
CDC5L,CS0,CS0
PPL,CS4,CS4
KAZN,CS6,CS6
SAFB2,CS4,CS4
SAFB,CS3,CS3
MAPK10,CS6,CS6
HDAC3,CS1,CS1
MAPK11,CS6,CS6
SMAD7,CS5,CS5
TRIP6,CS3,CS3
LPAR2,CS3,CS3
LHX2,CS7,CS7
E2F6,CS1,CS1
RYBP,,
SAP18,CS0,CS0
POLE2,CS0,CS0
BTG1,CS5,CS5
PRMT1,CS0,CS0
TLR3,CS7,CS7
RNF216,CS5,CS5
TLR4,CS5,CS5
TLR5,CS5,CS5
ABI1,CS5,CS5
ENAH,CS4,CS4
SLC31A1,CS3,CS3
DUSP11,CS4,CS4
SRSF7,CS0,CS0
NEDD9,CS6,CS6
PNN,CS1,CS1
SRRM2,CS2,CS2
MCL1,CS1,CS1
BTAF1,CS2,CS2
MVD,CS1,CS1
FANCA,CS3,CS3
CHD4,CS1,CS1
ARHGEF7,CS2,CS2
TNKS,CS6,CS6
FNBP1,CS4,CS4
TRADD,CS6,CS6
TNFRSF25,CS6,CS6
PABPC4,CS5,CS5
RABIF,CS2,CS2
RIPK1,CS6,CS6
RIPK3,CS2,CS2
MYH13,CS6,CS6
BCL10,CS3,CS3
MALT1,CS6,CS6
CARD19,CS4,CS4
AP1G2,CS3,CS3
AP1S1,CS6,CS6
AP1S2,CS4,CS4
VAMP4,CS4,CS4
AP1M1,CS5,CS5
GPN1,CS0,CS0
MBD2,CS5,CS5
MBD3,CS5,CS5
MBD3L1,CS7,CS7
CHD8,CS2,CS2
HUNK,CS5,CS5
UBOX5,CS5,CS5
UBE2L3,CS0,CS0
HIC1,CS5,CS5
PDZK1,CS2,CS2
SLC22A4,CS6,CS6
PDZK1IP1,CS3,CS3
DNM1L,CS1,CS1
GSK3B,CS5,CS5
CCNT2,CS3,CS3
CUL4A,CS5,CS5
CUL2,CS1,CS1
RAB27A,CS7,CS7
SYTL4,CS5,CS5
TROAP,CS3,CS3
EIF3G,CS0,CS0
AKAP9,CS5,CS5
TACC3,CS1,CS1
ZBTB17,CS1,CS1
DIS3,CS1,CS1
PLCB2,CS6,CS6
TRPM7,CS1,CS1
ERBIN,CS6,CS6
PLXNB2,CS7,CS7
GRHPR,CS4,CS4
VPS37C,CS3,CS3
AKAP3,CS5,CS5
GNA13,CS3,CS3
GRAP2,CS5,CS5
GAB1,CS4,CS4
CCNDBP1,CS4,CS4
PABPC1,CS1,CS1
ANAPC5,CS0,CS0
ITGAE,CS6,CS6
TOM1,CS4,CS4
TNIP1,CS6,CS6
PDCD6IP,CS2,CS2
PRDX4,CS5,CS5
STK16,CS5,CS5
NAGK,CS6,CS6
NCKAP1,CS2,CS2
GADD45G,CS5,CS5
GADD45GIP1,CS2,CS2
PACSIN3,CS3,CS3
PACSIN2,CS6,CS6
SPTBN2,CS4,CS4
SLC9A3R1,CS5,CS5
KCNJ1,CS6,CS6
UPF3A,CS2,CS2
NBL1,CS4,CS4
P4HB,CS4,CS4
TARBP2,CS4,CS4
EEA1,CS5,CS5
RAB22A,CS6,CS6
URI1,CS0,CS0
DMAP1,CS1,CS1
CNKSR1,CS5,CS5
RASSF1,CS6,CS6
MVP,CS5,CS5
PARP4,CS6,CS6
FHL5,CS6,CS6
HDAC2,CS6,CS6
FEZ1,CS6,CS6
DISC1,CS6,CS6
ADAM15,CS6,CS6
SNX9,CS5,CS5
TLR9,CS4,CS4
RAB11A,CS3,CS3
RAB11FIP4,CS3,CS3
IFITM2,CS2,CS2
TRIM10,CS4,CS4
RHOQ,CS1,CS1
EXOC7,CS2,CS2
PBLD,CS5,CS5
STRAP,CS1,CS1
XRN2,CS1,CS1
ABI3BP,CS5,CS5
ABI3,CS6,CS6
PINX1,CS4,CS4
TXNIP,CS6,CS6
ZBTB32,CS5,CS5
CSPG5,CS4,CS4
ZMYND8,CS2,CS2
TNK2,CS6,CS6
IPO13,CS0,CS0
PAX6,CS6,CS6
PLCB1,CS6,CS6
OSTM1,CS6,CS6
RGS17,CS6,CS6
RGS20,CS5,CS5
ORC6,CS0,CS0
AP4E1,CS4,CS4
AP4B1,CS5,CS5
SOX6,CS6,CS6
CENPK,CS0,CS0
VPS11,,
EXOSC8,CS1,CS1
N4BP1,CS6,CS6
LSM2,CS0,CS0
LSM10,CS1,CS1
POLD2,CS0,CS0
RAB29,CS6,CS6
COL23A1,CS6,CS6
KCTD3,CS6,CS6
THUMPD3,CS6,CS6
ECT2,CS0,CS0
PARD6A,CS5,CS5
MAP1S,CS5,CS5
CECR2,,
HEBP2,CS6,CS6
HSPB1,CS5,CS5
HSPB8,CS5,CS5
CCT5,CS0,CS0
THEG,CS6,CS6
PPFIA1,CS4,CS4
GIT1,CS3,CS3
SYNCRIP,CS2,CS2
PTPN11,CS1,CS1
RARA,CS4,CS4
MECR,CS4,CS4
NPLOC4,CS0,CS0
UFD1,CS0,CS0
ATF4,CS1,CS1
TRIB3,CS6,CS6
ARNT2,CS6,CS6
PARN,CS2,CS2
SPATC1L,CS5,CS5
EXOSC5,CS1,CS1
NCOA2,CS6,CS6
GFI1,CS5,CS5
ITCH,CS6,CS6
TGS1,CS1,CS1
MT-ND1,,
LOXL1,CS5,CS5
FBLN5,CS5,CS5
MT2A,,
PRKD1,CS7,CS7
NPR1,CS4,CS4
PRKG1,CS5,CS5
MT-ND2,,
EPS15,CS5,CS5
RNF11,CS2,CS2
SLC9A3R2,CS6,CS6
KCNB1,CS6,CS6
KCNG2,CS6,CS6
USP33,CS4,CS4
DIO2,CS6,CS6
CHD3,CS5,CS5
TOPORS,CS6,CS6
PER1,CS7,CS7
CRY1,CS6,CS6
PER2,CS3,CS3
PAWR,CS6,CS6
THAP1,CS0,CS0
SERBP1,CS1,CS1
HSF1,CS1,CS1
SYMPK,CS0,CS0
MCM4,CS0,CS0
LMO4,CS4,CS4
